headline,web_url,snippet,source,keywords,pub_date,byline,word_count,title
"‘The Attachment Diaries’ Review: Love, Sick",https://www.nytimes.com/2023/05/25/movies/the-attachment-diaries-review.html,"A gynecologist and her patient form a horrifyingly twisted connection in this batty, bloody Argentine melodrama.",The New York Times,"['Movies', 'The Attachment Diaries (Movie)', 'Diment, Valentin Javier']",2023-05-25T11:00:03+0000,By Jeannette Catsoulis,295,The Attachment Diaries
Review: ‘What’s Love Got to Do With It?’ Probably a Lot,https://www.nytimes.com/2023/05/04/movies/whats-love-got-to-do-with-it-review.html,Two childhood friends navigate cultural differences in this pleasantly uncontentious romantic comedy.,The New York Times,"['Movies', 'Kapur, Shekhar', 'James, Lily', 'Azmi, Shabana', 'Thompson, Emma']",2023-05-04T17:16:45+0000,By Jeannette Catsoulis,287,What’s Love Got to Do With It?’ Probably a Lo
‘You Can Live Forever’ Review: Do You Love Me Now?,https://www.nytimes.com/2023/05/04/movies/you-can-live-forever-review.html,Religion comes between two girls falling in love in the 1990s in this sweet coming-of-age film bathed in grunge hues.,The New York Times,"['Movies', 'You Can Live Forever (Movie)', 'Slutsky, Mark', 'Watts, Sarah (Film Director)', ""O'Driscoll, Anwen"", 'Laporte, June (Actor)']",2023-05-04T11:00:08+0000,By Elisabeth Vincentelli,294,You Can Live Forever
‘A Tourist’s Guide to Love’ Review: A Wearyingly Familiar Trip,https://www.nytimes.com/2023/04/21/movies/a-tourists-guide-to-love-review.html,Rachael Leigh Cook stars in this bland rom-com as a travel executive exploring Vietnam and getting over a breakup.,The New York Times,"['Movies', ""A Tourist's Guide to Love (Movie)"", 'Tsuchida, Steven', 'Cook, Rachael Leigh']",2023-04-21T07:03:25+0000,By Elisabeth Vincentelli,276,A Tourist’s Guide to Love
‘Other People’s Children’ Review: True Romance,https://www.nytimes.com/2023/04/20/movies/other-peoples-children-review.html,"A radiant Virginie Efira stars as a Parisian teacher who blissfully falls for a man and his 4-year-old daughter, complicating everyone’s lives.",The New York Times,"['Movies', 'Zlotowski, Rebecca', ""Other People's Children (Movie)""]",2023-04-20T15:35:13+0000,By Manohla Dargis,801,Other People’s Children
‘One True Loves’ Review: A Romance Lost at Sea,https://www.nytimes.com/2023/04/13/movies/one-true-loves-movie-review.html,"A film adaptation of Taylor Jenkins Reid’s novel has potential for drama, but it stumbles on stock melodrama.",The New York Times,"['Movies', 'Bracey, Luke (1989- )', 'Liu, Simu', 'Reid, Taylor Jenkins', 'Soo, Phillipa', 'Fickman, Andy', 'One True Loves (Movie)']",2023-04-13T11:00:06+0000,By Brandon Yu,320,One True Loves
‘The Lost Weekend: A Love Story’ Review: When John Lennon Strayed,https://www.nytimes.com/2023/04/13/movies/the-lost-weekend-a-love-story-review.html,"There’s not much Lennon music heard in this doc about his affair with May Pang, and given how much Pang trashes his wife, Yoko Ono, it’s no surprise it was withheld.",The New York Times,"['Documentary Films and Programs', 'The Lost Weekend: A Love Story (Movie)', 'Pang, May', 'Lennon, John', 'Ono, Yoko', 'Brandstein, Eve', 'Kaufman, Richard S (Filmmaker)', 'Samuels, Stuart (Filmmaker)', 'Content Type: Personal Profile', 'Pop and Rock Music']",2023-04-13T11:00:03+0000,By Glenn Kenny,327,The Lost Weekend: A Love Story
‘A Thousand and One’ Review: A New York Love Story,https://www.nytimes.com/2023/03/30/movies/a-thousand-and-one-review.html,"A mesmerizing Teyana Taylor stars in A.V. Rockwell’s feature directing debut, about motherhood and survival in a fast-changing city.",The New York Times,"['Movies', 'A Thousand and One (Movie)', 'Rockwell, AV (Film Director)', 'Taylor, Teyana (1990- )']",2023-03-30T18:53:42+0000,By Manohla Dargis,971,A Thousand and One
‘Your Place or Mine’ Review: Try Neither,https://www.nytimes.com/2023/02/09/movies/your-place-or-mine-review.html,This humdrum Netflix romantic comedy features Reese Witherspoon and Ashton Kutcher as longtime friends with possibly hidden feelings for each other.,The New York Times,"['Movies', 'Your Place or Mine (Movie)', 'Witherspoon, Reese', 'Kutcher, Ashton', 'McKenna, Aline Brosh']",2023-02-10T00:00:05+0000,By Amy Nicholson,569,Your Place or Mine
"‘Love in the Time of Fentanyl’ Review: Heartbreak, Death and Hope in Vancouver",https://www.nytimes.com/2023/02/02/movies/love-in-the-time-of-fentanyl-review.html,"To combat the overdose crisis, a group that includes former and current users open a safe consumption site where shooting up does not have to mean death.",The New York Times,"['Documentary Films and Programs', 'Fentanyl', 'Drug Abuse and Traffic', 'Volunteers and Community Service', 'Love in the Time of Fentanyl (Movie)', 'Askey, Colin', 'Vancouver (British Columbia)', 'Overdose Prevention Society']",2023-02-02T12:00:11+0000,By Concepción de León,306,Love in the Time of Fentanyl
"‘Pamela, a Love Story’ Review: A Frank Look Back",https://www.nytimes.com/2023/01/31/movies/pamela-a-love-story-review.html,"This documentary from Ryan White rewinds, to powerful effect, on Pamela Anderson’s life and fame.",The New York Times,"['Documentary Films and Programs', 'Anderson, Pamela (1967- )', 'White, Ryan (Filmmaker)', 'Pamela, a Love Story (Movie)']",2023-01-31T12:00:05+0000,By Glenn Kenny,295,"Pamela, a Love Story"
‘In From the Side’ Review: Love and Rugby Play a Losing Game,https://www.nytimes.com/2023/01/19/movies/in-from-the-side-review.html,"In Matt Carter’s gay rugby film, sports and romance smash together like two players from opposing teams.",The New York Times,"['Movies', 'In From the Side (Movie)', 'Carter, Matt (Filmmaker)']",2023-01-19T17:50:16+0000,By Kyle Turner,281,In From the Side
‘After Love’ Review: The Other Woman,https://www.nytimes.com/2023/01/19/movies/after-love-review.html,"In this intelligent melodrama by the director Aleem Khan, a British woman discovers her husband has been leading a double life.",The New York Times,"['Movies', 'After Love (2020) (Movie)', 'Khan, Aleem', 'Scanlan, Joanna (1961- )']",2023-01-19T12:00:06+0000,By Beatrice Loayza,359,After Love
‘Alcarràs’ Review: Labor of Love,https://www.nytimes.com/2023/01/05/movies/alcarras-review.html,"In this naturalistic drama from Spain, a family confronts the impending loss of its generations-old farm.",The New York Times,"['Movies', 'Simon, Carla', 'Alcarras (Movie)']",2023-01-05T12:00:03+0000,By Devika Girish,306,Alcarràs
"‘Nelly & Nadine’ Review: An Unlikely Love, an Unlikely Record",https://www.nytimes.com/2022/12/15/movies/nelly-and-nadine-review.html,A family archive provides intimate records of a love affair that began between two women imprisoned in the Ravensbrück concentration camp.,The New York Times,"['Documentary Films and Programs', 'Gertten, Magnus', 'Nelly & Nadine (Movie)', 'Content Type: Personal Profile', 'Holocaust and the Nazi Era', 'World War II (1939-45)', 'Women and Girls', 'Homosexuality and Bisexuality']",2022-12-15T12:00:04+0000,By Teo Bugbee,308,Nelly & Nadine
‘Lady Chatterley’s Lover’ Review: When Connie Met Ollie,https://www.nytimes.com/2022/12/01/movies/lady-chatterleys-lover-review.html,The new Netflix adaptation of D.H. Lawrence’s once-controversial novel is both steamy and decorous.,The New York Times,"['Movies', ""Lady Chatterley's Lover (Movie)"", 'Corrin, Emma (1995- )', 'De Clermont-Tonnerre, Laure', 'Lawrence, D H']",2022-12-01T16:40:55+0000,By A.O. Scott,768,Lady Chatterley’s Lover
‘The Sound of Christmas’ Review: A Gospel Singer Finds Love,https://www.nytimes.com/2022/11/23/movies/sound-of-christmas-review.html,A young singer gets more than she bargained for when she accepts a job as a nanny for a billionaire’s children.,The New York Times,"['Movies', 'Ne-Yo', 'The Sound of Christmas (Movie)', 'Mattison, Booker T', 'McNeill, Serayah']",2022-11-23T15:00:09+0000,By Concepción de León,277,The Sound of Christmas
"‘The Inspection’ Review: Boot Camp, a Love Story",https://www.nytimes.com/2022/11/17/movies/the-inspection-review-boot-camp-a-love-story.html,"Elegance Bratton’s autobiographical first feature is a lyrical, wrenching look at a young Marine’s journey through basic training.",The New York Times,"['Movies', 'The Inspection (Movie)', 'Bratton, Elegance']",2022-11-17T12:00:07+0000,By A.O. Scott,836,The Inspection
‘Bones and All’ Review: You Eat What You Are,https://www.nytimes.com/2022/11/17/movies/bones-and-all-review.html,Luca Guadagnino’s latest stars Timothée Chalamet and Taylor Russell as young cannibals on the run.,The New York Times,"['Movies', 'Bones and All (Movie)', 'Guadagnino, Luca', 'Chalamet, Timothee (1995- )', 'Russell, Taylor (1994- )']",2022-11-17T12:00:06+0000,By A.O. Scott,710,Bones and All
"‘My Policeman’ Review: Two Love Affairs, Equally Tragic",https://www.nytimes.com/2022/10/20/movies/my-policeman-review.html,"A schoolteacher, her police officer husband and his lover deny each other romantic satisfaction in this dismal melodrama.",The New York Times,"['Movies', 'My Policeman (Movie)', 'Grandage, Michael']",2022-10-20T16:52:51+0000,By Teo Bugbee,303,My Policeman
‘About Fate’ Review: Love the One You’re With?,https://www.nytimes.com/2022/09/08/movies/about-fate-review.html,"Thomas Mann’s beguiling performance drives this Emma Roberts vehicle, but the romantic comedy creaks under the weight of its coincidences.",The New York Times,"['Movies', 'About Fate (Movie)', 'Vaysberg, Marius', 'Mann, Thomas (1991- )', 'Roberts, Emma (1991- )']",2022-09-09T01:00:03+0000,By Lisa Kennedy,289,About Fate
